orpha_code;orpha_concept_id;snomed_code;snomed_concept_id;snomed_domain_id;snomed_domain_concept_id;orpha_valid_start_date;orpha_valid_end_date;mapping_valid_start_date;mapping_valid_end_date
59;0;702327009;45773358;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
60;0;30188007;192275;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
61;0;124466001;4051046;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
62;0;715340002;37395781;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
63;0;770414008;36674698;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
64;0;63702009;4270189;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
65;0;193413001;4108958;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
67;0;388759003;4303710;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
68;0;266169003;436637;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
69;0;17602002;432595;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
70;0;5262007;372605;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
71;0;702364003;45765429;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
72;0;76880004;4296631;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
73;0;1515008;4034835;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
74;0;61750000;4264169;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
76;0;1214006;436040;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
78;0;63479002;4188108;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
79;0;716746003;37399549;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
81;0;445187004;40482477;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
82;0;439699000;4231771;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
83;0;62964007;4267738;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
84;0;30575002;4148471;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
85;0;52951008;4204062;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
86;0;715364001;37398919;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
87;0;205258009;4003796;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
88;0;191256002;4098145;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
90;0;23501004;4053156;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
91;0;425708006;4138017;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
92;0;410502007;4259507;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
93;0;54954004;4207521;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
94;0;254938000;4110884;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
95;0;10394003;441554;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
96;0;702442008;45765491;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
97;0;420932006;4227348;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
98;0;702445005;45765494;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
100;0;68504005;4285430;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
101;0;68116008;4239176;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
102;0;230297002;4044053;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
104;0;58610003;4240232;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
105;0;253902002;4109815;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
107;0;290006;4103701;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
108;0;21061004;439730;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
109;0;234138005;4124993;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
110;0;5619004;4209284;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
111;0;297231002;4175583;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
112;0;707742001;45769152;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
113;0;254820002;4111952;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
114;0;50123005;4172755;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
115;0;205821003;4007586;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
116;0;81780002;4305179;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
117;0;310701003;436642;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
118;0;238047006;4031942;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
119;0;718850008;36713857;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
122;0;110985001;4007939;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
123;0;67817003;4283945;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
124;0;71988008;4217370;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
125;0;4434006;4185900;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
126;0;715391004;37395818;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
127;0;21634003;4065596;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
128;0;187151009;4089500;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
129;0;238731001;4343205;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
130;0;418818005;4303408;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
131;0;82385007;196715;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
132;0;360619001;4236394;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
133;0;18121009;4111455;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
134;0;124258007;4050165;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
135;0;447351004;40492344;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
136;0;390936003;4190891;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
137;0;238049009;4079878;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
138;0;47535005;4165529;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
139;0;17608003;4069592;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
140;0;74928006;4326424;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
141;0;80544005;4214740;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
142;0;255031003;4112985;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
143;0;255037004;4116231;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
144;0;716318002;37396489;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
145;0;718220008;37397555;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
146;0;772992009;36676291;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
147;0;765329008;35623050;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
150;0;449248000;40486201;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
154;0;52029003;4178584;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
156;0;238001003;4079868;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
157;0;238002005;4031804;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
158;0;21764004;195223;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
159;0;238003000;4079869;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
160;0;207036003;4118225;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
162;0;718851007;36713858;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
163;0;702398007;45765456;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
167;0;111396008;4006317;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
168;0;238735005;4081087;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
169;0;21926007;4072211;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
170;0;254231002;4110263;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
171;0;197441003;4058821;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
172;0;74162007;4253211;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
173;0;63650001;198677;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
174;0;29248006;4104805;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
175;0;7720002;4298801;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
177;0;56692003;4209722;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
178;0;1156453008;607974;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
179;0;231981005;4334133;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
180;0;75241009;433465;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
181;0;239007005;4082355;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
182;0;77798004;4299121;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
183;0;82275008;4305666;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
184;0;76098004;4294407;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
185;0;39905002;4218874;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
186;0;31712002;4135822;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
187;0;398680004;4162980;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
188;0;87730004;4227747;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
189;0;54209007;4184273;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
190;0;360455002;4232976;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
191;0;21086008;4052211;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
192;0;15182000;4035173;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
193;0;56604005;4208854;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
195;0;26445008;4096924;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
198;0;59399004;4241225;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
199;0;40354009;4227105;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
200;0;5102002;4178457;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
201;0;58037000;4240212;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
202;0;278098005;4175543;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
204;0;713060000;37016908;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
205;0;28259009;4151846;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
207;0;28861008;4103387;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
209;0;58588007;4242416;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
210;0;716860005;37396885;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
212;0;13003007;4045236;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
213;0;190681003;4100827;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
214;0;85020001;4225406;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
215;0;232061009;374353;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
216;0;42012007;4170931;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
217;0;14447001;4031189;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
218;0;48611009;4174992;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
219;0;718177001;37397521;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
220;0;236385009;4125955;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
221;0;402425006;4270868;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
222;0;238733003;4081085;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
223;0;111395007;438476;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
224;0;49817004;193323;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
225;0;237619009;4129516;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
226;0;58256000;4241461;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
227;0;253851000;4109798;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
229;0;45894003;4262102;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
230;0;237923004;4029722;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
231;0;396334002;193708;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
232;0;127040003;22281;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
233;0;60318001;376989;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
234;0;44553005;4195953;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
235;0;2593002;4093756;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
236;0;77527000;4298945;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
237;0;69015003;4286801;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
238;0;33257003;4141587;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
239;0;82699004;4220978;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
240;0;17818006;4075151;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
241;0;239082002;4034572;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
242;0;95218005;4317951;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
243;0;95198001;4317840;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
244;0;86204009;4313982;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
245;0;35520007;4146992;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
246;0;66038001;4278088;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
247;0;253528005;4101624;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
248;0;27025001;4098884;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
249;0;10623005;4025369;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
250;0;254004006;4109964;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
251;0;59708000;434161;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
256;0;22451001;378417;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
257;0;723308003;37109579;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
258;0;111503008;4006462;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
261;0;111508004;4009185;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
263;0;240046001;4344042;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
266;0;719985001;36714666;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
267;0;715341003;37395782;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
268;0;718179003;37397523;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
269;0;399091004;4163266;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
270;0;77097004;4297463;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
272;0;111502003;4008570;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
273;0;77956009;79804;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
274;0;54569005;4185078;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
275;0;715982006;37396241;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
276;0;765145001;35608121;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
277;0;44940001;4261471;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
280;0;718226002;37397559;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
281;0;70173007;440518;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
282;0;230270009;4043378;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
283;0;414495006;4190504;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
284;0;21009004;434868;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
285;0;30652003;4148925;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
286;0;17025000;4062070;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
287;0;715318006;37395762;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
288;0;191169008;22288;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
289;0;62501005;80838;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
290;0;1857005;433869;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
291;0;715223009;37395696;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
292;0;716865000;37399559;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
293;0;715337002;37395778;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
294;0;276701009;4171253;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
295;0;715197005;37395680;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
296;0;268274005;4145177;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
297;0;712986001;37016847;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
298;0;718214007;37397550;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
300;0;238068007;4029126;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
301;0;254939008;4112960;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
302;0;19138001;4078931;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
303;0;254185007;4110130;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
304;0;67144006;4284702;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
305;0;399971009;4290842;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
307;0;6204001;4267274;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
308;0;230423006;4044226;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
310;0;79745005;4194366;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
312;0;254167000;4110127;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
313;0;205550003;4003980;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
314;0;7297005;4249474;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
315;0;239062001;4346194;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
316;0;239063006;4033644;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
317;0;70041004;4289750;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
318;0;93451002;138099;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
319;0;307608006;4144193;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
320;0;237770005;4035123;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
321;0;716742001;37396802;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
324;0;16652001;4042934;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
325;0;33297000;4142629;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
326;0;88776002;4228064;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
327;0;40855001;4252387;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
328;0;76642003;4295290;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
329;0;49762007;437256;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
330;0;43217004;4183313;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
331;0;50189006;4177169;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
332;0;234361004;4121109;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
333;0;79935000;4196512;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
334;0;715395008;37395821;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
335;0;31925001;4135472;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
337;0;82725007;73854;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
340;0;716864001;37399017;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
341;0;240523007;4347554;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
342;0;12579009;193445;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
343;0;403834003;4301411;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
345;0;77333008;4298208;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
346;0;53593008;4203598;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
347;0;445431000;40483743;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
348;0;28183005;4102294;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
349;0;64716005;4277436;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
351;0;35691006;4262271;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
352;0;190745006;439788;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
353;0;718176005;37399401;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
354;0;238025006;4079873;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
355;0;190794006;4101305;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
356;0;67155006;442759;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
358;0;707756004;45769163;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
360;0;393563007;40571980;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
361;0;765326001;35608125;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
364;0;7265005;4219504;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
365;0;274864009;4166143;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
366;0;66937008;4284550;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
